Sample;Sampling_date;Sampling_site;Ct
MTL_11_cpTP24h_Raw;2021-02-24;11-VSTL-ind;37.124568077897
MTL_05_grb3_Raw;2021-02-24;05-CoteDNeige;NA
MTL_05_cpTP24h_Raw;2021-02-24;05-CoteDNeige;NA
MTL_16_grb3_Raw;2021-02-24;16-Bordeau;29.5443175453752
MTL_16_cpTP24h_Raw;2021-02-24;16-Bordeau;29.2126205008718
MTL_12_grb3_Raw;2021-02-24;12-Anjou-ind;37.1028935252122
MTL_12_cpTP24h_Raw;2021-02-24;12-Anjou-ind;37.6701851172057
MTL_11_grb3_Raw;2021-02-25;11-VSTL-ind;33.9248497369814
MTL_11_cpTP24h_Raw;2021-02-25;11-VSTL-ind;33.7638980788678
MTL_05_grb3_Raw;2021-02-25;05-CoteDNeige;30.3541269494968
MTL_05_cpTP24h_Raw;2021-02-25;05-CoteDNeige;27.1627622634859
MTL_16_grb3_Raw;2021-02-25;16-Bordeau;30.1516629881822
MTL_16_cpTP24h_Raw;2021-02-25;16-Bordeau;27.580992338892
MTL_16_grb3_Raw;2021-02-25;16-Bordeau;29.2346380358573
MTL_16_cpTP24h_Raw;2021-02-25;16-Bordeau;34.9841430774244
MTL_12_grb3_Raw;2021-02-25;12-Anjou-ind;34.1087987688341
MTL_12_cpTP24h_Raw;2021-02-25;12-Anjou-ind;33.3918700786886
MTL_11_grb3_Raw;2021-02-26;11-VSTL-ind;38.2756469299217
MTL_11_cpTP24h_Raw;2021-02-26;11-VSTL-ind;37.3943820303138
MTL_05_grb3_Raw;2021-02-26;05-CoteDNeige;35.3193043087821
MTL_05_cpTP24h_Raw;2021-02-26;05-CoteDNeige;32.6078152374504
MTL_16_grb3_Raw;2021-02-26;16-Bordeau;30.4724165781668
MTL_16_cpTP24h_Raw;2021-02-26;16-Bordeau;31.4507300045715
MTL_12_grb3_Raw;2021-02-26;12-Anjou-ind;38.1100233744468
MTL_12_cpTP24h_Raw;2021-02-26;12-Anjou-ind;36.2776196479161
MTL_11_grb3_Raw;2021-03-01;11-VSTL-ind;36.6794271920969
MTL_11_cpTP72h_Raw;2021-03-01;11-VSTL-ind;36.5301563110168
MTL_05_grb3_Raw;2021-03-01;05-CoteDNeige;35.1054853586452
MTL_05_cpTP72h_Raw;2021-03-01;05-CoteDNeige;32.6920159030426
MTL_16_grb3_Raw;2021-03-01;16-Bordeau;31.5798179510366
MTL_16_cpTP72h_Raw;2021-03-01;16-Bordeau;30.7565866301118
MTL_12_grb3_Raw;2021-03-01;12-Anjou-ind;36.5799507592131
MTL_12_cpTP24h_Raw;2021-03-01;12-Anjou-ind;36.3320985211959
MTL_11_grb3_Raw;2021-03-02;11-VSTL-ind;37.8566666666667
MTL_11_cpTP24h_Raw;2021-03-02;11-VSTL-ind;37.77
MTL_05_grb3_Raw;2021-03-02;05-CoteDNeige;33.5933333333333
MTL_05_cpTP24h_Raw;2021-03-02;05-CoteDNeige;33.1933333333333
MTL_16_grb3_Raw;2021-03-02;16-Bordeau;37.3033333333333
MTL_16_cpTP24h_Raw;2021-03-02;16-Bordeau;31.2
MTL_12_grb3_Raw;2021-03-02;12-Anjou-ind;37.6133333333333
MTL_12_cpTP24h_Raw;2021-03-02;12-Anjou-ind;38.0566666666667
MTL_11_grb3_Raw;2021-03-03;11-VSTL-ind;36.685818475726
MTL_11_cpTP24h_Raw;2021-03-03;11-VSTL-ind;36.2066666666667
MTL_05_grb3_Raw;2021-03-03;05-CoteDNeige;34.4333333333333
MTL_05_cpTP24h_Raw;2021-03-03;05-CoteDNeige;33.2533333333333
MTL_16_grb3_Raw;2021-03-03;16-Bordeau;32.4033333333333
MTL_16_cpTP24h_Raw;2021-03-03;16-Bordeau;31.58
MTL_12_grb3_Raw;2021-03-03;12-Anjou-ind;35.14
MTL_12_cpTP24h_Raw;2021-03-03;12-Anjou-ind;35.07
MTL_11_grb3_Raw;2021-03-04;11-VSTL-ind;37.97
MTL_11_cpTP24h_Raw;2021-03-04;11-VSTL-ind;35.5266666666667
MTL_05_grb3_Raw;2021-03-04;05-CoteDNeige;33.4913030905782
MTL_05_cpTP24h_Raw;2021-03-04;05-CoteDNeige;35.5443435649806
MTL_16_grb3_Raw;2021-03-04;16-Bordeau;37.5090572034702
MTL_16_cpTP24h_Raw;2021-03-04;16-Bordeau;32.7215797836086
MTL_12_grb3_Raw;2021-03-04;12-Anjou-ind;36.4991707759056
MTL_12_cpTP24h_Raw;2021-03-04;12-Anjou-ind;35.2302346091419
MTL_11_grb3_Raw;2021-03-05;11-VSTL-ind;36.0866666666667
MTL_11_cpTP24h_Raw;2021-03-05;11-VSTL-ind;36.2566666666667
MTL_05_grb3_Raw;2021-03-05;05-CoteDNeige;29.3133333333333
MTL_05_cpTP24h_Raw;2021-03-05;05-CoteDNeige;32.56
MTL_16_grb3_Raw;2021-03-05;16-Bordeau;35.7233333333333
MTL_16_cpTP24h_Raw;2021-03-05;16-Bordeau;32.37
MTL_12_grb3_Raw;2021-03-05;12-Anjou-ind;35.7833333333333
MTL_12_cpTP24h_Raw;2021-03-05;12-Anjou-ind;36.1966666666667
MTL_11_grb3_Raw;2021-03-08;11-VSTL-ind;36.4866666666667
MTL_11_cpTP24h_Raw;2021-03-08;11-VSTL-ind;35.74
MTL_05_grb3_Raw;2021-03-08;05-CoteDNeige;32.64
MTL_05_cpTP24h_Raw;2021-03-08;05-CoteDNeige;31.1566666666667
MTL_16_grb3_Raw;2021-03-08;16-Bordeau;31.8933333333333
MTL_16_cpTP24h_Raw;2021-03-08;16-Bordeau;32.4733333333333
MTL_12_grb3_Raw;2021-03-08;12-Anjou-ind;35.9733333333333
MTL_12_cpTP24h_Raw;2021-03-08;12-Anjou-ind;35.5166666666667
MTL_11_grb3_Raw;2021-03-09;11-VSTL-ind;37.4936546555372
MTL_11_cpTP24h_Raw;2021-03-09;11-VSTL-ind;38.1380851018171
MTL_05_grb3_Raw;2021-03-09;05-CoteDNeige;34.9417167571874
MTL_05_cpTP24h_Raw;2021-03-09;05-CoteDNeige;32.1343150917669
MTL_16_grb3_Raw;2021-03-09;16-Bordeau;34.2920911191374
MTL_16_cpTP24h_Raw;2021-03-09;16-Bordeau;33.2408669540653
MTL_12_grb3_Raw;2021-03-09;12-Anjou-ind;36.3667916384889
MTL_12_cpTP24h_Raw;2021-03-09;12-Anjou-ind;35.6324122662729
MTL_11_grb3_Raw;2021-03-10;11-VSTL-ind;37.3247723738303
MTL_11_cpTP24h_Raw;2021-03-10;11-VSTL-ind;37.011557018015
MTL_05_grb3_Raw;2021-03-10;05-CoteDNeige;34.4461745689754
MTL_05_cpTP24h_Raw;2021-03-10;05-CoteDNeige;33.1158353186741
MTL_16_grb3_Raw;2021-03-10;16-Bordeau;34.6657898561161
MTL_16_grb3_Raw;2021-03-10;16-Bordeau;35.627349343708
MTL_16_cpTP24h_Raw;2021-03-10;16-Bordeau;32.9604277900647
MTL_16_cpTP24h_Raw;2021-03-10;16-Bordeau;33.027339154945
MTL_12_grb3_Raw;2021-03-10;12-Anjou-ind;36.8580685886283
MTL_12_cpTP24h_Raw;2021-03-10;12-Anjou-ind;38.099928278348
MTL_11_grb3_Raw;2021-03-11;11-VSTL-ind;38.0919159381826
MTL_11_cpTP24h_Raw;2021-03-11;11-VSTL-ind;39.2286966311063
MTL_05_grb3_Raw;2021-03-11;05-CoteDNeige;35.9101176964143
MTL_05_cpTP24h_Raw;2021-03-11;05-CoteDNeige;33.6079917603079
MTL_16_grb3_Raw;2021-03-11;16-Bordeau;33.9358149380734
MTL_16_cpTP24h_Raw;2021-03-11;16-Bordeau;33.8754267909235
MTL_12_grb3_Raw;2021-03-11;12-Anjou-ind;38.5991825733109
MTL_12_cpTP24h_Raw;2021-03-11;12-Anjou-ind;39.1329859642943
MTL_11_grb3_Raw;2021-03-12;11-VSTL-ind;39.0406506560468
MTL_11_cpTP24h_Raw;2021-03-12;11-VSTL-ind;NA
MTL_05_grb3_Raw;2021-03-12;05-CoteDNeige;35.3739371936398
MTL_05_cpTP24h_Raw;2021-03-12;05-CoteDNeige;33.4135984755116
