Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
LV_A_2021_03-21_2-1392772_S369_L002;2021-03-21;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021_03-22_2-1392758_S355_L002;2021-03-22;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-03-23_2-1392760_S357_L002;2021-03-23;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-03-24_2-1392773_S370_L002;2021-03-24;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-03-31_2-1392699_S346_L002;2021-03-31;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-04-05_2-1392681_S328_L002;2021-04-05;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-04-07_2-1392685_S332_L002;2021-04-07;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-04-08_2-1392693_S340_L002;2021-04-08;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_A_2021-04-14_2-1392696_S343_L002;2021-04-14;01-A_Auteuil;Laval;WW treatment plant;Auteuil;Composite;
LV_B_2021-02-29_2-1392787_S384_L002;2021-02-29;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-03-21_2-1392757_S354_L002;2021-03-21;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-03-22_2-1392784_S381_L002;2021-03-22;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-03-23_2-1392761_S358_L002;2021-03-23;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-03-31_2-1392752_S349_L002;2021-03-31;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-04_2-1392751_S348_L002;2021-04-04;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-05_2-1392682_S329_L002;2021-04-05;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-08_2-1392688_S335_L002;2021-04-08;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-09_2-1392687_S334_L002;2021-04-09;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-13_2-1392698_S345_L002;2021-04-13;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_B_2021-04-14_2-1392697_S344_L002;2021-04-14;02-B_Fabreville;Laval;WW treatment plant;Fabreville;Composite;
LV_C_2021-03-23_2-1392763_S360_L002;2021-03-23;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-03-24_2-1392762_S359_L002;2021-03-24;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-03-25_2-1392780_S377_L002;2021-03-25;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-03-30_2-1392785_S382_L002;2021-03-30;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-04-01_2-1392755_S352_L002;2021-04-01;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-04-06_2-1392686_S333_L002;2021-04-06;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-04-09_2-1392680_S327_L002;2021-04-09;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-04-14_2-1392694_S341_L002;2021-04-14;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C_2021-04-15_2-1392695_S342_L002;2021-04-15;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_C-2021-03-26_2-1392781_S378_L002;2021-03-26;03-C_SP_Ste-Dorothee;Laval;WW pumping station;Ste-Dorothee;Composite;
LV_D_2021-03-23_2-1392778_S375_L002;2021-03-23;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-24_2-1392779_S376_L002;2021-03-24;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-25_2-1392782_S379_L002;2021-03-25;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-28_2-1392786_S383_L002;2021-03-28;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-30_2-1392783_S380_L002;2021-03-30;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-31_2-1392753_S350_L002;2021-03-31;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-03-31_2-1392754_S351_L002;2021-03-31;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-01_2-1392756_S353_L002;2021-04-01;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-02_2-1392691_S338_L002;2021-04-02;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-02_2-1392692_S339_L002;2021-04-02;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-05_2-1392683_S330_L002;2021-04-05;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-09_2-1392684_S331_L002;2021-04-09;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-14_2-1392690_S337_L002;2021-04-14;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-14_2-1392700_S347_L002;2021-04-14;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_D_2021-04-15_2-1392689_S336_L002;2021-04-15;04-D_SP_Bertrand;Laval;WW pumping station;Bertand;Composite;
LV_E_2021-03-21_2-1392776_S373_L002;2021-03-21;05-E_La Piniere;Laval;WW treatment plant;La Piniere;Composite;
LV_E_2021-03-22_2-1392759_S356_L002;2021-03-22;05-E_La Piniere;Laval;WW treatment plant;La Piniere;Composite;
